Id,preco
0,1600200.9
1,272586.12
2,612728.3
3,230374.33
4,283093.0
5,271153.88
6,700476.8
7,322522.0
8,339017.38
9,667407.9
10,660135.2
11,596257.9
12,1089363.4
13,334456.97
14,836127.7
15,637634.5
16,383712.5
17,358559.28
18,344365.62
19,834852.8
20,770539.94
21,326775.34
22,351006.3
23,360799.53
24,301973.2
25,362451.12
26,483612.78
27,586665.06
28,793383.94
29,967251.8
30,364464.28
31,1601686.5
32,1642210.9
33,1556477.0
34,1107629.0
35,378647.25
36,474395.47
37,2886642.5
38,433976.34
39,419094.75
40,2319082.0
41,754277.75
42,368464.47
43,1276242.9
44,1062641.5
45,219705.05
46,848437.44
47,513183.06
48,253235.64
49,417552.03
50,476537.5
51,360608.6
52,654675.7
53,892264.6
54,905161.75
55,308038.62
56,608414.75
57,394022.72
58,850982.75
59,1492461.9
60,2393012.5
61,614479.75
62,1333954.9
63,4016591.0
64,409448.9
65,440918.97
66,556454.44
67,1269032.4
68,837419.6
69,369494.44
70,1983018.4
71,273206.8
72,527943.44
73,477391.75
74,270728.84
75,2756569.0
76,321538.3
77,401171.94
78,208763.38
79,264870.1
80,546245.6
81,420088.3
82,313193.44
83,1471184.1
84,3416266.2
85,380445.5
86,402331.7
87,603551.06
88,483612.78
89,334379.47
90,632791.25
91,782048.94
92,207962.56
93,293522.12
94,204710.69
95,987189.25
96,836907.9
97,1446044.4
98,384688.6
99,598829.06
100,424840.0
101,407069.22
102,1256524.9
103,837279.9
104,446776.3
105,851111.8
106,862086.1
107,1077099.1
108,347785.2
109,590358.1
110,440641.94
111,869047.25
112,352631.9
113,394668.8
114,871677.6
115,362455.25
116,517896.06
117,4737306.5
118,827857.6
119,318629.53
120,2291919.8
121,335737.16
122,598480.8
123,311188.84
124,287457.0
125,700886.44
126,376838.5
127,1345569.0
128,332299.78
129,1067246.2
130,1126420.0
131,3375255.0
132,525306.25
133,1337637.8
134,1342268.8
135,565054.0
136,531148.25
137,1837076.5
138,774658.7
139,405535.2
140,2737199.5
141,413825.2
142,398537.72
143,1342811.6
144,397964.97
145,503568.3
146,255741.48
147,1775069.1
148,634439.06
149,1087021.0
150,467583.9
